Order,Key,gKey,Name
1960,../book/book_0021.html,19,021. 위대한 개츠비
1970,../book/book_0020.html,19,020. When the Future Belongs
1980,../book/book_0018.html,19,018. 평사원 리더
1990,../book/book_0017.html,19,017. 빚더미가 몰려온다
2000,../book/book_0016.html,19,016. 불황10년
2010,../book/book_0015.html,19,015. 신뢰의 속도
2020,../book/book_0014.html,19,014. 동물농장
2030,../book/book_0013.html,19,013. 목표관리&실행
2040,../book/book_0012.html,19,012. 경영학 콘서트
2050,../book/book_0011.html,19,011. 일본을 통해본 부동산 10년 대폭락 시나리오
2060,../book/book_0010.html,19,010. 육아는 과학이다
2070,../book/book_0009.html,19,009. 이코노미스트 2010 세계경제전망
2080,../book/book_0008.html,19,008. 세계에서 빈곤을 없애는 30가지 방법
2090,../book/book_0007.html,19,007. 경제성장이 안되면 우리는 풍요롭지 못할 것인가
2100,../book/book_0006.html,19,006. 망각의 힘
2110,../book/book_0005.html,19,005. 실용주의 프로그래머
2120,../book/book_0004.html,19,004. 커피와 샌드위치
2130,../book/book_0003.html,19,003. 성취심리
2140,../book/book_0002.html,19,002. 메모의 기술
2150,../book/book_0001.html,19,001. 칭찬은 고래를 춤추게 한다
2160,../study/study_0101.html,20,23년 시험일정
2170,T1장 전사아키텍처 이해,20,
2180,../study/study_0102.html,20,1-1 전사아키텍처 개요
2190,../study/study_0103.html,20,1-2 전사아키텍처 구축
2200,../study/study_0104.html,20,1-3 전사아키텍처 관리 및 활용
2210,T2장 데이터 품질 관리 이해 (DAP),20,
2220,../study/study_0115.html,20,2-1. 데이터 이해
2230,../study/study_0116.html,20,2-2. 데이터 구조 이해
2240,../study/study_0117.html,20,2-3. 데이터 관리 프로세스 이해
2250,T3장 데이터 요건 분석,20,
2260,../study/study_0118.html,20,3-1. 정보 요구 사항 개요
2270,../study/study_0119.html,20,3-2. 정보 요구 사항 조사
2280,../study/study_0120.html,20,3-3. 정보 요구 사항 분석
2290,../study/study_0121.html,20,3-4. 정보 요구 검증
2300,T4장 데이터 표준화,20,
2310,../study/study_0112.html,20,4-1. 데이터 표준화 개요
2320,../study/study_0113.html,20,4-2. 데이터 표준 수립
2330,../study/study_0114.html,20,4-3. 데이터 표준 관리
2340,T5장 데이터 모델링,20,
2350,../study/study_0108.html,20,5-1. 데이터 모델링 이해
2360,../study/study_0109.html,20,5-2. 개념 데이터 모델링
2370,../study/study_0110.html,20,5-3. 논리 데이터 모델링
2380,../study/study_0111.html,20,5-4. 물리 데이터 모델링
2390,T6장 데이터베이스 설계와 이용 (DAP),20,
2400,../study/study_0105.html,20,6-1. 데이터베이스 설계
2410,../study/study_0106.html,20,6-2. 데이터베이스 이용
2420,../study/study_0107.html,20,6-3. 데이터베이스 성능 개선
2430,../study/study_0001.html,21,0.소프트웨어 자산관리사 개괄 (SW자산관리사)
2440,../study/study_0002.html,21,0.1 SW백문백답 (SW자산관리사)
2450,../study/study_0003.html,21,1. 소프트웨어 일반 (SW자산관리사)
2460,../study/study_0004.html,21,2. SW라이선스 (SW자산관리사)
2470,../study/study_0005.html,21,2.X 주요기업 라이선스 정책 (작성중 2/6) (SW자산관리사)
2480,../study/study_0006.html,21,3.1 SW의 법적 보호 (SW자산관리사)
2490,../study/study_0007.html,21,3.2 저작물과 저작자 (SW자산관리사)
2500,../study/study_0008.html,21,3.3 저작권의 보호와 이용 (SW자산관리사)
2510,../study/study_0009.html,21,3.4 저작권의 제한과 공정한 이용 (SW자산관리사)
2520,../study/study_0010.html,21,3.5 저작권의 침해와 구제 (SW자산관리사)
2530,../study/study_0011.html,21,4.1 소프트웨어 자산관리 일반 (SW자산관리사)
2540,../study/study_0012.html,21,4.2 SAM의 구현 (SW자산관리사)
2550,../study/study_0013.html,21,4.3 SAM 프로세스 (SW자산관리사)
2560,../study/study_0014.html,21,4.4 SAM 라이프사이클 (SW자산관리사)
2570,../study/study_0015.html,21,4.5 SAM의 적용 서식 (SW자산관리사)
2580,../study/study_0031.html,22,hello world
2590,../study/study_0032.html,22,기초문법 (h / a / img / ul / ol / li)
2600,../study/study_0033.html,22,구조
2610,../study/study_0034.html,22,css
2620,../study/study_0035.html,22,선택자
2630,../study/study_0036.html,22,css 상속
2640,../study/study_0037.html,22,css 우선순위
2650,../study/study_0038.html,22,css 주요속성
2660,../study/study_0039.html,22,Transform
2670,../study/study_0040.html,22,Transition
2680,../study/study_0041.html,22,Animation changeWidth
2690,../study/study_0042.html,22,Animation rotation
2700,../study/study_0043.html,22,3-5
2710,../study/study_0044.html,22,3-6
2720,../study/study_0045.html,22,미디어쿼리
2730,../study/study_0046.html,22,뷰포트
2740,../study/study_0081.html,23,git / github
2750,../study/study_0082.html,23,Git / GitHub 첫 사용하기
2760,../study/study_0083.html,23,웹호스팅
2770,../study/study_0084.html,23,Git 통합중 : 삭제 예정
2780,../study/study_0085.html,23,Git Study : 0.빠른 실습
2790,../study/study_0086.html,23,Git Study : 1. ~ (작성중)
2800,../study/study_0087.html,23,Git Study : 6. 기본 명령어 CLI
2810,../study/study_0088.html,23,Git Study : 7. 브랜치 CLI
2820,../study/study_0089.html,23,Git File
2830,TR restart 2019,24,
2840,../study/study_0061.html,24,R 리스타트
2850,../study/study_0062.html,24,R 마크다운출력
2860,../study/study_0063.html,24,일정관리1
2870,../study/study_0064.html,24,일정관리2
2880,../study/study_0065.html,24,igraph in R
2890,../study/study_0066.html,24,R Markdown my graph
2900,T빅데이터 분석도구 R프로그래밍,24,
2910,../big/big_0011.html,24,1장 시작하기
2920,../big/big_0012.html,24,2장 벡터
2930,../big/big_0013.html,24,3장 행렬과 배열
2940,../big/big_0014.html,24,4장 리스트
2950,../big/big_0015.html,24,5장 데이터프레임
2960,../big/big_0006.html,24,6장 팩터와 테이블
2970,../big/big_0017.html,24,7장 R프로그래밍구조
2980,../big/big_0018.html,24,8장 R에서 수학과 시뮬레이션하기
2990,TDoR,24,
3000,../big/big_0021.html,24,DoR 01.안녕R
3010,../big/big_0022.html,24,DoR 04.데이터프레임
3020,../big/big_0023.html,24,DoR 06.자유자재로 데이터 가공하기
3030,../big/big_0024.html,24,DoR 07.데이터정제
3040,T빅데이터 2,24,
3050,../big/big_0031.html,24,2장 T검정 및 비모수검정
3060,../big/big_0032.html,24,3장 게으른 학습 최근접 이웃을 사용한 분류
3070,../big/big_0033.html,24,4장 확률론적 학습 나이브 베이즈를 사용한 분류
3080,../big/big_0034.html,24,5장 분할정복 결정트리와 규칙을 사용한 분류
3090,../big/big_0035.html,24,10.11장 모델 성능 평가 및 향상
3100,../docu/docu_0003.html,25,4차인간 (EBS 다큐프라임) (18.06.09) 
3110,../docu/docu_0004.html,25,4차 산업혁명시대 교육대혁명 (EBS 다큐프라임) (17.09.18) 
3120,../etc/etc_7001.html,25,4차산업혁명 심리학으로 말하다
3130,../etc/etc_7002.html,25,자동화 공장 사람이 사라진 공장
3140,../etc/etc_7003.html,25,인공지능을 넘어 초지능으로
3150,../etc/etc_7005.html,25,처음 시작하는 데이터분석 _ 엑셀
3160,../etc/etc_7006.html,25,디지털 리터러시
3170,../etc/etc_9001.html,25,R함수
3180,../etc/etc_9002.html,25,RPA세미나 (19.03.12)
850,../book/book_0133.html,26,133. 알고 가면 미술관엔 그림이 있다
860,../book/book_0130.html,26,130. 미술관에 간 심리학
870,../book/book_0127.html,26,127. 화가가 사랑한 나무들
880,../book/book_0107.html,26,107. The ART of 소울
890,../book/book_0090.html,26,090. 내가 사랑한 책
